seqnames	start	end	width	strand	log2FC	logCPM	F	PValue	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
XI	225887	225937	51	-	-1.43081055387484	7.66377092021058	45.0649868802215	2.88280189136324e-05	0.000145686652840665	Promoter	11	224727	225875	1149	2	YKL113C	YKL113C_mRNA	-62
XI	229898	229939	42	-	-2.19737103312849	7.16498805688806	99.2815696690416	6.06743398393099e-07	7.20100823556297e-06	Promoter	11	228939	229880	942	2	YKL110C	YKL110C_mRNA	-59
XI	230099	230126	28	-	-2.97438617465169	5.53451343931386	51.5757696015792	1.53686241559529e-05	8.93473418672243e-05	Promoter	11	228939	229880	942	2	YKL110C	YKL110C_mRNA	-246
XI	245381	245601	221	-	2.08710624121087	8.47497642472968	125.458375663339	1.80713960313885e-07	2.81844272720309e-06	Promoter	11	243220	245373	2154	2	YKL104C	YKL104C_mRNA	-228
XI	247672	247793	122	-	1.95453651945214	8.59943755295371	158.046678239435	5.35343549008703e-08	1.13260074325059e-06	Promoter	11	246138	247682	1545	2	YKL103C	YKL103C_mRNA	0
XI	248659	248678	20	+	-1.24111536150743	5.21699645003484	9.21803837364593	0.0109914960392705	0.0215403220809869	Promoter	11	248920	253476	4557	1	YKL101W	YKL101W_mRNA	-242
XI	25148	25206	59	+	-4.23001000214621	7.95595061230123	321.789130994424	1.14794402179274e-09	1.07711743746179e-07	Promoter	11	25215	26159	945	1	YKL216W	YKL216W_mRNA	-9
XI	256483	256566	84	-	-2.02604437488778	7.35343183762986	91.082899023226	9.41808074636684e-07	1.01840846470713e-05	Promoter	11	255720	256472	753	2	YKL099C	YKL099C_mRNA	-94
XI	261085	261110	26	+	2.6405285687055	6.83279095953933	58.5499808246459	8.40010296945284e-06	5.62614369674088e-05	Promoter	11	261132	261851	720	1	YKL096W	YKL096W_mRNA	-22
XI	262092	262192	101	+	1.0070192541373	7.91492554838086	30.4448856580783	0.000163641502612797	0.000605535780771003	Promoter	11	262277	263113	837	1	YKL095W	YKL095W_mRNA	-85
XI	264699	264786	88	+	3.26122081929747	6.2556200935123	39.9562968858105	4.98622411347913e-05	0.000227394250573472	Promoter	11	264789	265808	1020	1	YKL093W	YKL093W_mRNA	-3
XI	278250	278299	50	+	4.19557352011922	6.60369736977542	84.8845204965516	1.34548281759635e-06	1.31797570602639e-05	Promoter	11	278281	278664	384	1	YKL086W	YKL086W_mRNA	0
XI	278967	279070	104	+	1.4103421476627	9.21018915803749	103.781508470289	4.8326188532786e-07	6.10356537103555e-06	Promoter	11	279123	280127	1005	1	YKL085W	YKL085W_mRNA	-53
XI	282332	282421	90	-	-1.14816928626006	9.89913225579925	57.027182993614	9.53280478992712e-06	6.24315317736008e-05	Promoter	11	281025	282329	1305	2	YKL082C	YKL082C_mRNA	-92
XI	282812	282898	87	+	-2.4260864902806	7.48746816153745	84.1474527920853	1.40594150709594e-06	1.3520378208555e-05	Promoter	11	282891	284455	1565	1	YKL081W	YKL081W_mRNA	0
XI	284903	284947	45	+	-1.53284356180858	8.38980379398084	83.3814047445003	1.47219541922595e-06	1.40464762940264e-05	Promoter	11	285030	286208	1179	1	YKL080W	YKL080W_mRNA	-83
XI	296353	296430	78	+	1.45395136374428	7.91046586223637	61.7295857358516	6.50725877612322e-06	4.629286725821e-05	Promoter	11	296430	299075	2646	1	YKL073W	YKL073W_mRNA	0
XI	299371	299377	7	+	-7.3828915996369	5.00020088882256	73.6011303823117	1.00902264760572e-05	6.46891199374103e-05	Promoter	11	299582	301882	2301	1	YKL072W	YKL072W_mRNA	-205
XI	305070	305097	28	+	7.62803580768414	5.5396735404714	79.0417737714888	7.4808283330158e-06	5.15604966975281e-05	Promoter	11	305114	305884	771	1	YKL071W	YKL071W_mRNA	-17
XI	315876	315982	107	+	4.58244870882804	6.94452701737472	126.25406268355	1.74839987161582e-07	2.7622447322346e-06	Promoter	11	315954	316175	222	1	YKL065W-A	YKL065W-A_mRNA	0
XI	317004	317136	133	-	1.53530767362883	8.85086274484131	93.1645274778707	8.39564962293992e-07	9.28482524209674e-06	Promoter	11	316437	317057	621	2	YKL065C	YKL065C_mRNA	0
XI	334925	335003	79	-	-2.04610579099235	8.81835119823342	89.6300774322137	1.02189323416145e-06	1.08261629969667e-05	Promoter	11	334412	334915	504	2	YKL056C	YKL056C_mRNA	-88
XI	34128	34151	24	-	1.21926770275812	6.7204331564141	24.2045874835248	0.000420272990997112	0.00133663292430846	Promoter	11	31960	34107	2148	2	YKL213C	YKL213C_mRNA	-44
XI	360182	360244	63	+	2.30680202739371	6.69884178235537	39.1175222677504	5.48467797599292e-05	0.000245072938761998	Promoter	11	360143	360817	675	1	YKL041W	YKL041W_mRNA	39
XI	38147	38230	84	-	-2.41086901158911	5.61340464297437	22.4547937675391	0.000564891564048452	0.00172120372614888	Promoter	11	36699	38153	1455	2	YKL211C	YKL211C_mRNA	0
XI	384749	384847	99	-	-3.5023528871954	8.35989734967035	311.914166500224	1.36168477401886e-09	1.20471965643196e-07	Promoter	11	382716	384725	2010	2	YKL029C	YKL029C_mRNA	-122
XI	387418	387519	102	+	-1.01931262438167	5.92064644832051	7.72449753839748	0.0175000517659407	0.0321461879551028	Promoter	11	387562	388905	1344	1	YKL027W	YKL027W_mRNA	-43
XI	389884	390020	137	-	3.84504706524034	7.96736035380109	219.249908588964	9.26882062215224e-09	3.41682432934794e-07	Promoter	11	389380	389883	504	2	YKL026C	YKL026C_mRNA	-137
XI	393352	393365	14	-	-1.34490219170757	5.69411610022877	9.3924783005656	0.0104372075385566	0.02064530564334	Promoter	11	393146	393373	228	2	YKL023C-A	YKL023C-A_mRNA	21
XI	407968	408093	126	-	1.62765937689416	8.81707207892181	102.17999123086	5.23478969388889e-07	6.45626289863563e-06	Promoter	11	407465	407989	525	2	YKL016C	YKL016C_mRNA	0
XI	408428	408499	72	+	1.32674495656423	6.47865272174596	25.5966169384349	0.000335733985117121	0.00110683033304872	Promoter	11	408544	411483	2940	1	YKL015W	YKL015W_mRNA	-45
XI	416922	416943	22	-	-4.84995795058808	5.41061138525881	52.2972760317793	1.43931072795459e-05	8.47241052483925e-05	Promoter	11	411619	416913	5295	2	YKL014C	YKL014C_mRNA	-30
XI	426165	426263	99	+	-1.85739405694851	9.08671600147463	85.5415548069634	1.29415426513292e-06	1.282556956036e-05	Promoter	11	426242	426952	711	1	YKL009W	YKL009W_mRNA	0
XI	428577	428642	66	-	-3.6852270408168	4.78868202069493	21.6997876581309	0.000644989522973961	0.00192075827343408	Promoter	11	427295	428551	1257	2	YKL008C	YKL008C_mRNA	-91
XI	431861	431912	52	+	-3.68470347674851	8.64533055294431	277.361607618798	2.58654434925319e-09	1.57511703902549e-07	Promoter	11	431906	432720	815	1	YKL006W	YKL006W_mRNA	0
XI	437684	437738	55	+	1.0588189407261	8.49761538224962	45.6440473989265	2.71797844939914e-05	0.000140102575580257	Promoter	11	437778	438544	767	1	YKL002W	YKL002W_mRNA	-40
XI	452154	452201	48	+	-1.15823812181315	8.02159793663464	10.4413391755759	0.0077244634845848	0.0159272373523161	Promoter	11	452201	454078	1878	1	YKR008W	YKR008W_mRNA	0
XI	457091	457222	132	-	9.61653847120759	7.33048975263555	254.261990576228	4.45871858374942e-08	9.91455279432225e-07	Promoter	11	454352	457054	2703	2	YKR009C	YKR009C_mRNA	-168
XI	46305	46396	92	-	-1.4332864065504	8.21179467713413	66.7567153907737	4.44332248445352e-06	3.37304324638859e-05	Promoter	11	42423	46295	3873	2	YKL209C	YKL209C_mRNA	-101
XI	463886	463932	47	+	-1.97924233679632	8.17688025779063	106.343718717947	4.26227428319907e-07	5.60546666541802e-06	Promoter	11	463959	464948	990	1	YKR013W	YKR013W_mRNA	-27
XI	473419	473468	50	-	1.45071348047007	6.44359112220555	16.2351950914396	0.00187535081821788	0.00473557710505875	Promoter	11	471694	473349	1656	2	YKR017C	YKR017C_mRNA	-119
XI	475907	475958	52	-	1.33194301004449	8.71288358997822	92.1664996081181	8.86861875832563e-07	9.74146701535271e-06	Promoter	11	473723	475900	2178	2	YKR018C	YKR018C_mRNA	-58
XI	489705	489810	106	-	-1.25891822006868	6.89425445349824	28.3748349867309	0.000219934686590584	0.000779462625600716	Promoter	11	488738	489655	918	2	YKR026C	YKR026C_mRNA	-155
XI	49829	49866	38	-	1.16190454496177	6.4142593289195	9.93438214614889	0.0089152165991565	0.0180155498220496	Promoter	11	49006	49809	804	2	YKL206C	YKL206C_mRNA	-57
XI	506890	506918	29	+	7.18913480983359	5.18121937406676	57.7836216941094	2.73823590397693e-05	0.000140997417023828	Promoter	11	506898	507707	810	1	YKR034W	YKR034W_mRNA	0
XI	514960	515020	61	+	8.02185745666799	5.89337759723986	94.0862112015729	3.5712926867837e-06	2.87238185353545e-05	Promoter	11	515063	516871	1809	1	YKR039W	YKR039W_mRNA	-43
XI	519298	519352	55	+	-2.06979803384704	7.43641985629606	73.3530377722689	2.79253944882181e-06	2.35911405520259e-05	Promoter	11	519527	520624	1098	1	YKR042W	YKR042W_mRNA	-175
XI	521694	521748	55	-	-1.25289596880837	7.91501507243364	57.8733337034326	8.88266680536062e-06	5.86472953526252e-05	Promoter	11	520897	521712	816	2	YKR043C	YKR043C_mRNA	0
XI	521936	521970	35	+	-1.07750875846987	5.85144817319378	9.24006694864124	0.0109196031650261	0.0214426105734533	Promoter	11	522015	523346	1332	1	YKR044W	YKR044W_mRNA	-45
XI	525074	525109	36	-	4.08503128328018	6.52857098769384	38.8337658587036	5.66643170206959e-05	0.000251818566823245	Promoter	11	524223	525074	852	2	YKR046C	YKR046C_mRNA	0
XI	527171	527263	93	-	2.3114163891118	8.25462092082166	185.907269960341	2.25170170103558e-08	6.17282622111036e-07	Promoter	11	526830	527231	402	2	YKR049C	YKR049C_mRNA	0
XI	551608	551654	47	+	-2.38487056708703	8.01987311597205	179.397530263265	2.72507862667465e-08	6.97906978810467e-07	Promoter	11	551657	552242	586	1	YKR057W	YKR057W_mRNA	-3
XI	554889	554993	105	+	-1.63752222537647	6.2186282196724	34.0515858862463	0.000101193308694547	0.000402290334221295	Promoter	11	554987	556174	1188	1	YKR059W	YKR059W_mRNA	0
XI	556447	556489	43	+	-1.94928844441446	6.81356980320188	75.5018071069289	2.41945233346987e-06	2.09484965385487e-05	Promoter	11	556518	557342	825	1	YKR060W	YKR060W_mRNA	-29
XI	557666	557689	24	+	4.06275682935392	5.46856175072185	30.3913624985659	0.000164865443247854	0.000608214743627032	Promoter	11	557677	558954	1278	1	YKR061W	YKR061W_mRNA	0
XI	567800	567930	131	+	2.54105193994443	5.8168800872691	17.3134998649789	0.0014937767616344	0.003903715210587	Promoter	11	567918	570149	2232	1	YKR067W	YKR067W_mRNA	0
XI	579140	579175	36	+	1.92131187305401	6.45537560456509	33.7113325250875	0.000105705945571405	0.000418183033455655	Promoter	11	579209	579676	468	1	YKR074W	YKR074W_mRNA	-34
XI	580759	580811	53	-	-1.84241227304602	8.56410090442478	86.0382744071042	1.25687554132919e-06	1.25657429350033e-05	Promoter	11	579827	580750	924	2	YKR075C	YKR075C_mRNA	-61
XI	582206	582293	88	+	4.73942459575947	9.35630567450965	583.165204423678	4.30097904098452e-11	3.38118595579882e-08	Promoter	11	582283	583395	1113	1	YKR076W	YKR076W_mRNA	0
XI	590313	590337	25	+	-7.8651594187607	5.41764275868396	93.3910826298623	3.68630650139658e-06	2.93097507120846e-05	Promoter	11	590395	591357	963	1	YKR080W	YKR080W_mRNA	-58
XI	592550	592594	45	-	-2.02381212280056	6.93516017220725	83.8866730478757	1.42809406444031e-06	1.3652467028618e-05	Promoter	11	591506	592540	1035	2	YKR081C	YKR081C_mRNA	-54
XI	605403	605447	45	-	-1.00335656051528	6.41900292914465	12.2264413213978	0.0047965101203881	0.0105562271577605	Promoter	11	604405	605418	1014	2	YKR088C	YKR088C_mRNA	0
XI	608768	608810	43	+	-1.17382849378441	5.96602489509853	13.267704965141	0.00369908726692778	0.00845456018829055	Promoter	11	608946	611066	2121	1	YKR090W	YKR090W_mRNA	-136
XI	611425	611518	94	+	1.06997324922346	9.14135712378336	34.8569708775712	9.13859686258828e-05	0.000371188750695781	Promoter	11	611525	612265	741	1	YKR091W	YKR091W_mRNA	-7
XI	618730	618840	111	-	-2.72080533718777	7.96878012841398	92.913837104103	8.51160156714214e-07	9.37046453070445e-06	Promoter	11	617996	618750	755	2	YKR094C	YKR094C_mRNA	0
XI	626503	626583	81	+	2.17620423447756	6.60552972677193	37.235669406151	6.83309193152573e-05	0.000290018032043744	Promoter	11	626793	630380	3588	1	YKR096W	YKR096W_mRNA	-210
XI	630997	631062	66	+	6.05859821690258	8.09611080044495	291.355674443742	1.97712803153893e-09	1.39430507267659e-07	Promoter	11	631152	632801	1650	1	YKR097W	YKR097W_mRNA	-90
XI	79882	79971	90	-	1.40428389297444	7.55521505944483	56.265470210188	1.01664386569269e-05	6.50298973034679e-05	Promoter	11	78866	79882	1017	2	YKL193C	YKL193C_mRNA	0
XI	81005	81019	15	+	-7.23302672752646	4.87572539724635	58.1747804930253	2.66407740228961e-05	0.000137761962163031	Promoter	11	81035	82639	1605	1	YKL191W	YKL191W_mRNA	-16
XI	88736	88948	213	-	3.21319291688684	7.64696824697147	120.974983853359	2.18503979522527e-07	3.28960427712675e-06	Promoter	11	86225	88786	2562	2	YKL188C	YKL188C_mRNA	0
XI	91504	91597	94	-	7.54916912007654	8.61808593400174	356.518849844378	6.53995426249525e-10	8.70865342734015e-08	Promoter	11	89284	91536	2253	2	YKL187C	YKL187C_mRNA	0
XI	93310	93357	48	-	-1.12923976963594	7.00001914591166	28.2918181714521	0.000222631607281478	0.000786157765625306	Promoter	11	92744	93298	555	2	YKL186C	YKL186C_mRNA	-59
XII	1001807	1001864	58	-	3.27868117337185	5.44389773011178	19.2814722453455	0.00100879697643141	0.00279686920977397	Promoter	12	1000342	1001703	1362	2	YLR431C	YLR431C_mRNA	-161
XII	1002415	1002507	93	+	-1.08896610001679	7.72979401689724	47.735157285662	2.20837263051875e-05	0.000118739681990102	Promoter	12	1002557	1004128	1572	1	YLR432W	YLR432W_mRNA	-50
XII	1006285	1006342	58	+	-3.1728879563393	7.26065413412678	126.53184189828	1.72842462062923e-07	2.75724983301622e-06	Promoter	12	1006378	1006995	618	1	YLR435W	YLR435W_mRNA	-36
XII	1011959	1012092	134	-	-1.6173764448655	6.50220886147102	18.1467841617948	0.00126073386044204	0.00337073129940164	Promoter	12	1011622	1012023	402	2	YLR437C	YLR437C_mRNA	0
XII	1012451	1012476	26	+	1.0836665813413	7.39247536655088	21.8584138289115	0.000627103960208786	0.00187437829875673	Promoter	12	1012501	1013775	1275	1	YLR438W	YLR438W_mRNA	-25
XII	1018924	1018949	26	-	-2.55770325054809	8.67580829707986	293.376723923733	1.9038450792707e-09	1.39430507267659e-07	Promoter	12	1018141	1018908	768	2	YLR441C	YLR441C_mRNA	-41
XII	1022240	1022343	104	-	1.63726382382693	6.92599836529459	48.9574098788356	1.96274140127437e-05	0.00010828457662813	Promoter	12	1019315	1022251	2937	2	YLR442C	YLR442C_mRNA	0
XII	1027884	1027964	81	-	-1.17938395934982	6.81976916604259	20.8835091154263	0.000747124051394525	0.00217434547493167	Promoter	12	1026856	1027893	1038	2	YLR447C	YLR447C_mRNA	0
XII	1028758	1028901	144	+	-2.63232769647514	8.98416008321011	338.234783288201	8.73338187074943e-10	9.88293864722483e-08	Promoter	12	1028854	1029768	915	1	YLR448W	YLR448W_mRNA	0
XII	1030775	1030825	51	+	-2.08948997179834	8.24926083239689	134.809567756286	1.23996748296856e-07	2.15302005779088e-06	Promoter	12	1030834	1032012	1179	1	YLR449W	YLR449W_mRNA	-9
XII	116294	116370	77	+	1.34577141471594	5.96487829241538	11.0344457446514	0.00656250340770323	0.0138598704782482	Promoter	12	116432	121111	4680	1	YLL015W	YLL015W_mRNA	-62
XII	121291	121324	34	+	-1.06715542525339	7.24533400757468	25.1354683346433	0.000361306259372509	0.00117599749706129	Promoter	12	121322	121648	327	1	YLL014W	YLL014W_mRNA	0
XII	125477	125481	5	+	-1.63698977631609	5.28061490030811	14.9050863456113	0.00251671516830484	0.00610789825883857	Promoter	12	125534	127255	1722	1	YLL012W	YLL012W_mRNA	-53
XII	131415	131493	79	-	1.12491845006558	7.82950315195054	38.1914917412133	6.10468129053885e-05	0.000265938936076652	Promoter	12	131205	131414	210	2	YLL009C	YLL009C_mRNA	-79
XII	131658	131729	72	+	-2.66415492271557	8.64075382734786	257.341671855227	3.88968300931145e-09	1.95125747662984e-07	Promoter	12	131729	133987	2259	1	YLL008W	YLL008W_mRNA	0
XII	146253	146293	41	+	-1.99341393274343	5.60161102650693	28.4024227814076	0.000219046991397097	0.000777449059181818	Promoter	12	146291	147601	1311	1	YLL002W	YLL002W_mRNA	0
XII	147823	147866	44	+	1.24355048590031	6.43031029600158	20.643696513157	0.000780678950650999	0.0022531339109536	Promoter	12	147890	150163	2274	1	YLL001W	YLL001W_mRNA	-24
XII	156335	156435	101	-	-2.30196925617153	7.87748791963831	141.791596195899	9.50614282037943e-08	1.7722946729489e-06	Promoter	12	154343	156334	1992	2	YLR002C	YLR002C_mRNA	-101
XII	157739	157797	59	-	-1.4342377410841	7.90131352579403	76.625577650675	2.24782862382013e-06	1.96020324077217e-05	Promoter	12	156855	157730	876	2	YLR003C	YLR003C_mRNA	-67
XII	159985	160039	55	+	1.51253049643291	6.83960810475173	34.648625058282	9.38114101954453e-05	0.000378199106885698	Promoter	12	160049	161434	1386	1	YLR005W	YLR005W_mRNA	-10
XII	166131	166194	64	-	-1.96210726549872	6.12273808243356	35.1273117291453	8.83480184642035e-05	0.000360958402894051	Promoter	12	165577	166083	507	2	YLR008C	YLR008C_mRNA	-111
XII	166349	166445	97	+	-1.86945868261367	7.68403603328653	56.2612218030668	1.01701092987955e-05	6.50298973034679e-05	Promoter	12	166537	167136	600	1	YLR009W	YLR009W_mRNA	-92
XII	177590	177655	66	+	-1.59336767534468	7.36693531086405	70.3474842921316	3.43443532661213e-06	2.80402052001588e-05	Promoter	12	177608	178621	1014	1	YLR017W	YLR017W_mRNA	0
XII	183396	183468	73	-	-1.14524115005858	6.76122741305069	25.321696217539	0.000350712152099852	0.00114688530384266	Promoter	12	181789	183405	1617	2	YLR020C	YLR020C_mRNA	0
XII	183551	183655	105	+	-1.20898587417918	8.28327259397161	6.73266757198755	0.0244267926178151	0.0425414362484925	Promoter	12	183623	184162	540	1	YLR021W	YLR021W_mRNA	0
XII	184873	184991	119	-	-1.46770224066506	8.28157880188044	86.0448490187463	1.25639065864494e-06	1.25657429350033e-05	Promoter	12	184174	184926	753	2	YLR022C	YLR022C_mRNA	0
XII	187198	187212	15	-	-1.24515453811007	5.07704159354476	8.99448357746592	0.0117538511124987	0.0227476212559623	Promoter	12	185498	187129	1632	2	YLR023C	YLR023C_mRNA	-83
XII	193453	193477	25	-	2.23166865482378	5.19498707928928	12.434076957903	0.00454980844680195	0.0101139186396246	Promoter	12	187663	193281	5619	2	YLR024C	YLR024C_mRNA	-196
XII	201341	201547	207	-	1.22731389235129	8.53571729930135	47.1130105439306	2.34723010334842e-05	0.00012414806177058	Promoter	12	199540	201315	1776	2	YLR028C	YLR028C_mRNA	-232
XII	202392	202648	257	-	-2.54613859452992	9.99714717987684	371.266887650867	5.23284277180308e-10	8.29423701705794e-08	Promoter	12	201976	202590	615	2	YLR029C	YLR029C_mRNA	0
XII	204909	204983	75	+	1.99345738258715	5.5918234974687	20.6712154600359	0.000776739478357814	0.00224386356189502	Promoter	12	204991	208500	3510	1	YLR032W	YLR032W_mRNA	-8
XII	21761	21830	70	-	9.18170903577503	6.92639226043507	242.674305364228	5.50143546890224e-08	1.15387866343441e-06	Promoter	12	21138	21839	702	2	YLL060C	YLL060C_mRNA	78
XII	225181	225266	86	-	1.84195968609297	8.57334801627608	86.830007616377	1.20003543127076e-06	1.22675890936209e-05	Promoter	12	224921	225172	252	2	YLR038C	YLR038C_mRNA	-94
XII	229638	229728	91	-	-2.40487273223819	5.27006891941054	14.1684193423247	0.00298289141768102	0.00706313851018777	Promoter	12	228908	229582	675	2	YLR040C	YLR040C_mRNA	-146
XII	230468	230549	82	-	-2.8676444541604	6.47686456307613	12.6561998411496	0.00430233588693694	0.00963422292951456	Promoter	12	229966	230451	486	2	YLR042C	YLR042C_mRNA	-98
XII	233937	234153	217	-	-1.4677531736087	10.3075017768084	93.3183869082665	8.32540549512243e-07	9.2341344907834e-06	Promoter	12	232390	234081	1692	2	YLR044C	YLR044C_mRNA	0
XII	242128	242226	99	+	-2.92979394721572	9.65229153014627	359.685088361923	6.22960922507595e-10	8.66093671120559e-08	Promoter	12	242232	243349	1118	1	YLR048W	YLR048W_mRNA	-6
XII	246950	247028	79	-	-1.08664662643248	9.07876586827183	57.7390289901255	8.9822897605593e-06	5.92246910228747e-05	Promoter	12	246324	246977	654	2	YLR051C	YLR051C_mRNA	0
XII	248351	248480	130	-	5.12650305407913	7.23446204184603	101.59652085069	5.3910122091901e-07	6.59112196229122e-06	Promoter	12	248100	248426	327	2	YLR053C	YLR053C_mRNA	0
XII	253776	253804	29	+	-1.6671053122931	7.22509229156317	51.3208571244371	1.57317463105089e-05	9.0984914797641e-05	Promoter	12	253861	254958	1098	1	YLR056W	YLR056W_mRNA	-57
XII	259430	259508	79	-	-2.7053970674437	7.30855755456685	67.7345067435832	4.13752832354058e-06	3.21103872764728e-05	Promoter	12	257992	259401	1410	2	YLR058C	YLR058C_mRNA	-107
XII	260915	260971	57	+	-2.23265128998833	7.97429634828568	98.4566111625234	6.33229639966072e-07	7.38271554266182e-06	Promoter	12	260979	262766	1788	1	YLR060W	YLR060W_mRNA	-8
XII	263123	263186	64	+	-2.48082494801206	9.67814274615291	204.77436776443	1.33971182989554e-08	4.43471956753176e-07	Promoter	12	263194	263948	755	1	YLR061W	YLR061W_mRNA	-8
XII	266912	266979	68	-	-1.1847133584896	8.00067009084847	52.4973927985871	1.41355760362819e-05	8.35768080103863e-05	Promoter	12	266373	266918	546	2	YLR065C	YLR065C_mRNA	0
XII	270932	271008	77	+	-1.03018294226995	9.66650765590084	62.0407785016223	6.3505302416176e-06	4.55105746034039e-05	Promoter	12	271008	271463	456	1	YLR068W	YLR068W_mRNA	0
XII	278617	278659	43	-	-1.12259208917428	5.61015217082531	10.0601324886347	0.00860065669855781	0.0174742361148987	Promoter	12	275378	278626	3249	2	YLR071C	YLR071C_mRNA	0
XII	281699	281782	84	-	-3.67940913162838	5.61029727266907	40.7995812367823	4.53799128743876e-05	0.000209880619563873	Promoter	12	281019	281621	603	2	YLR073C	YLR073C_mRNA	-161
XII	282478	282527	50	-	-1.03735910946146	8.4322968717847	37.2712576154498	6.80419688907581e-05	0.000289416276767857	Promoter	12	281956	282456	501	2	YLR074C	YLR074C_mRNA	-71
XII	282869	282919	51	+	-1.64288687977097	9.07157242281052	117.242933538625	2.57207384348276e-07	3.67029657548009e-06	Promoter	12	282927	283592	666	1	YLR075W	YLR075W_mRNA	-8
XII	287918	287993	76	+	2.95484570040422	6.89643335416041	97.1457798595004	6.78168869649526e-07	7.78294745215706e-06	Promoter	12	287916	289250	1335	1	YLR080W	YLR080W_mRNA	2
XII	296182	296263	82	-	-2.93677798533074	6.0343852913645	59.243883409289	7.93695560896948e-06	5.42432949343336e-05	Promoter	12	294091	296094	2004	2	YLR083C	YLR083C_mRNA	-169
XII	341610	341614	5	+	7.13226903835118	5.11860096648648	54.2182535831643	3.54429796487348e-05	0.000171778425269665	Promoter	12	341810	342853	1044	1	YLR100W	YLR100W_mRNA	-196
XII	346541	346585	45	+	1.18828505935521	7.03232228256097	20.698592232315	0.000772843602855637	0.00223981951846071	Promoter	12	346585	346980	396	1	YLR104W	YLR104W_mRNA	0
XII	363833	363893	61	-	-4.27257379135247	5.28445956502429	29.5007658262031	0.000186903609518054	0.000677699675048326	Promoter	12	349006	363738	14733	2	YLR106C	YLR106C_mRNA	-155
XII	384492	384591	100	-	1.68591050364705	8.20742522927883	78.942390210009	1.9371805066541e-06	1.76192903651941e-05	Promoter	12	382471	384534	2064	2	YLR117C	YLR117C_mRNA	0
XII	388253	388335	83	-	1.3770582988647	7.8066366450159	38.246640655353	6.06552109375007e-05	0.000265421093904567	Promoter	12	386511	388220	1710	2	YLR120C	YLR120C_mRNA	-115
XII	395550	395599	50	-	1.32876452088236	5.79363041340917	9.59014633225244	0.00984873636273004	0.0196490164579928	Promoter	12	394765	395520	756	2	YLR126C	YLR126C_mRNA	-79
XII	416677	416742	66	-	1.41516538405815	8.91278703839255	31.8801993792851	0.000134484777757766	0.000510056842220803	Promoter	12	415801	416658	858	2	YLR136C	YLR136C_mRNA	-84
XII	425146	425172	27	+	2.19234228486607	6.07836651526916	32.7970310620813	0.000119056823255014	0.000459786112665793	Promoter	12	425186	426616	1431	1	YLR142W	YLR142W_mRNA	-14
XII	433755	433770	16	-	-1.46401443948535	5.0561025159416	10.2347091374368	0.00818551197121004	0.0167560111013277	Promoter	12	432823	433725	903	2	YLR146C	YLR146C_mRNA	-45
XII	439867	439914	48	-	1.44272198698438	7.13351359661664	38.4933729799277	5.89390307293651e-05	0.000259076173016342	Promoter	12	437631	439823	2193	2	YLR149C	YLR149C_mRNA	-91
XII	440279	440449	171	+	-2.10635802283067	9.91307969427783	117.797449355077	2.50974848313675e-07	3.60248853066178e-06	Promoter	12	440467	441288	822	1	YLR150W	YLR150W_mRNA	-18
XII	442711	442760	50	-	2.59142263567694	6.71364237044275	63.3807595071521	5.72444190887224e-06	4.15748273560781e-05	Promoter	12	441715	442737	1023	2	YLR151C	YLR151C_mRNA	0
XII	453304	454533	1230	-	1.09043949509951	11.1353831869171	10.3230749952107	0.00798445654252691	0.0163934031797198	Promoter	12	454392	454556	165	1	YLR154W-B	YLR154W-B_mRNA	0
XII	459384	459685	302	-	1.95459350549534	10.3598497768338	110.559396176542	3.4870504688003e-07	4.69355669223319e-06	Promoter	12	459676	459796	121	1	RDN5-1	RDN5-1_rRNA	0
XII	48621	48710	90	-	-2.58715493620513	9.52436500717395	323.267945752779	1.11945266537213e-09	1.07711743746179e-07	Promoter	12	47859	48629	771	2	YLL045C	YLL045C_mRNA	0
XII	493832	493888	57	+	7.93130409353288	5.81000346027781	98.2099315491292	2.97189739465116e-06	2.4933555886727e-05	Promoter	12	493883	494389	507	1	YLR164W	YLR164W_mRNA	0
XII	498841	498962	122	+	-2.56768617438272	10.049086573605	240.806353905045	5.57905458848801e-09	2.39866914186332e-07	Promoter	12	498947	499405	459	1	YLR167W	YLR167W_mRNA	0
XII	504521	504590	70	+	10.7208051954991	8.36118446045175	322.030548815844	1.53078025597113e-08	4.77485687535612e-07	Promoter	12	504591	505829	1239	1	YLR174W	YLR174W_mRNA	-1
XII	513832	513856	25	-	1.38950107667882	8.51616188478777	100.518155294474	5.69442605702899e-07	6.8757015368494e-06	Promoter	12	513162	513821	660	2	YLR178C	YLR178C_mRNA	-35
XII	514768	514796	29	-	-3.21654514655822	6.17050728482088	33.400769453963	0.00011003299056195	0.000430748617919912	Promoter	12	514108	514713	606	2	YLR179C	YLR179C_mRNA	-83
XII	515175	515226	52	+	-5.17268145222069	7.93085590407025	522.821490375956	7.88905938912553e-11	3.48983299886226e-08	Promoter	12	515262	516410	1149	1	YLR180W	YLR180W_mRNA	-36
XII	522614	522720	107	+	-2.11095765389985	9.21037520111879	246.043928176933	4.96425285767207e-09	2.27887305711626e-07	Promoter	12	522663	523288	626	1	YLR185W	YLR185W_mRNA	0
XII	523559	523604	46	+	-2.02805599223912	6.77141432145318	66.4720814550782	4.53728631896179e-06	3.42301321365396e-05	Promoter	12	523632	524390	759	1	YLR186W	YLR186W_mRNA	-28
